name,spacegroup,ntypes,natoms,delta_e,band_gap,stability,structure_id
NaCrIn2F6,225,4,10,-2.515851906,1.639,0.029522743,5440996
NaScAg2F6,225,4,10,-2.708991324,2.572,0.0678731,8229380
NaTl2SnF6,87,4,10,-2.43837358,1.638,0.062300649,6802760
NaTl2SnF6,1,4,20,-2.401927198,1.43,0.098747031,6874328
KTl2SbF6,225,4,10,-2.367698847,2.349,0.094829961,6451480
RbTl2SbF6,225,4,10,-2.369634362,2.057,0.081752422,8307299
NaAlIn2F6,166,4,10,-2.857665503,3.15,0.060037092,8303224
NaAlIn2F6,225,4,10,-2.861865018,3.147,0.055837577,8217363
KTl2BiF6,225,4,10,-2.433389342,3.411,0.051393082,8307257
RbTl2BiF6,225,4,10,-2.400005793,2.945,0.066839419,7838196
TlNO3,167,3,10,-0.807154114,2.511,0.035577695,8876821
NaTl2TcF6,225,4,10,-2.239039923,1.301,0.0279928,5450271
LiTl2FeF6,225,4,10,-2.429769619,1.237,0.00383928,7744950
LiTl2FeF6,14,4,20,-2.429858941,1.235,0.003749958,6298006
LiTl2FeF6,14,4,20,-2.429859321,1.234,0.003749578,6297986
LiTl2FeF6,225,4,10,-2.407401019,1.095,0.02620788,5450631
LiTl2FeF6,166,4,10,-2.398286475,1.043,0.035322424,8278775
NaTl2CoF6,14,4,20,-2.266293807,1.045,0.0,6329822
KCrIn2F6,225,4,10,-2.524381632,1.937,0.030475091,8229249
RbCrIn2F6,225,4,10,-2.472670622,1.775,0.070393219,8307338
LiTl2GaF6,225,4,10,-2.590362162,4.327,0.02095171,5450596
LiTl2GaF6,225,4,10,-2.606275242,4.289,0.00503863,4045997
LiTl2GaF6,225,4,10,-2.606275242,4.289,0.00503863,4046072
LiTl2GaF6,166,4,10,-2.581561651,4.096,0.02975222,8278778
KVIn2F6,225,4,10,-2.577247303,0.964,0.063763512,8232771
RbVIn2F6,225,4,10,-2.544407956,0.505,0.08297449,8307753
LiTl2InF6,166,4,10,-2.542250719,3.96,0.017076208,8278781
LiTl2InF6,225,4,10,-2.559326927,3.959,0.0,4046049
NaTl2FeF6,225,4,10,-2.440408879,1.645,0.0,7740618
NaTl2FeF6,225,4,10,-2.411856654,1.641,0.028552225,5450361
KAlIn2F6,225,4,10,-2.882296562,3.761,0.037845946,8314117
KAlIn2F6,87,4,10,-2.875983169,3.356,0.044159339,9130560
LiGeF3,62,3,20,-2.603496085,4.67,0.068884633,9205093
NaTl2GaF6,225,4,10,-2.603601765,4.481,0.02686038,5450291
NaTl2GaF6,225,4,10,-2.624649708,4.437,0.005812437,4046012
Rb2HgPbF6,225,4,10,-2.432370521,1.924,0.041195306,6451671
KTl2TcF6,225,4,10,-2.217064065,1.516,0.0,5450446
NaTl2InF6,225,4,10,-2.561316261,4.35,0.007605678,4046060
NaTl2InF6,225,4,10,-2.544642906,4.256,0.024279033,5450236
NaTl2InF6,87,4,10,-2.568921938,4.014,0.0,6802588
AgIO3,161,3,10,-0.541117433,2.08,0.036554005,8879009
AgIO3,62,3,20,-0.548267045,1.769,0.029404393,5269224
Cs2HgWF6,225,4,10,-2.476517295,3.885,0.097632457,5452421
Rb2SnPbF6,225,4,10,-2.682621396,1.877,0.06408838,6319360
Cs2HgPbF6,225,4,10,-2.465353868,2.065,0.025401479,6409649
LiScIn2F6,225,4,10,-3.002532256,3.109,0.09100524,6411196
LiScIn2F6,166,4,10,-3.00009674,3.103,0.093440756,8256072
KTl2FeF6,225,4,10,-2.410069924,1.532,0.016414792,8217819
RbTl2FeF6,225,4,10,-2.354611015,1.413,0.043579485,8284434
BiAuO3,62,3,20,-0.846682896,0.693,0.061546771,8532030
CuIO3,161,3,10,-0.611321047,1.53,0.063806131,8411318
LiTl2CrF6,225,4,10,-2.592256171,2.217,0.024234037,5450516
LiTl2CrF6,225,4,10,-2.616490208,2.06,0.0,7753510
LiTl2CrF6,166,4,10,-2.584987826,1.879,0.031502382,8278772
Na2LiNF6,225,4,10,-1.810189636,2.992,0.009384192,4046088
Na2LiNF6,225,4,10,-1.810189636,2.992,0.009384192,4046139
NaGeF3,62,3,20,-2.63056971,4.332,0.037984069,9196784
Rb2NiPbF6,225,4,10,-2.542782299,1.344,0.02637873,5449836
Cs2SnPbF6,225,4,10,-2.721075142,1.801,0.016443321,6449598
KTl2GaF6,225,4,10,-2.612302342,4.704,0.011076927,7780132
KTl2GaF6,139,4,10,-2.610369631,4.601,0.013009638,8302072
KTl2GaF6,87,4,10,-2.623379269,4.332,0.0,8289393
RbTl2GaF6,225,4,10,-2.571559313,4.728,0.019133845,6218096
CaAgF3,11,3,20,-2.953205473,2.338,0.043443505,8537839
CaAgF3,62,3,20,-2.953419972,2.338,0.043229006,8538371
Cs2HgPtF6,139,4,10,-2.095171048,1.243,0.096179533,8700653
MgTlF3,65,3,5,-3.066148046,4.311,0.010732962,8267081
MgTlF3,140,3,10,-3.064284306,4.238,0.012596702,8290654
MgTlF3,12,3,10,-3.065421601,4.233,0.011459407,8286894
MgTlF3,221,3,5,-3.054411488,4.201,0.02246952,8213318
MgTlF3,123,3,5,-3.062250376,4.183,0.014630632,8212733
MgTlF3,62,3,20,-3.036794066,4.168,0.040086942,8536262
MgTlF3,127,3,10,-3.048408991,4.151,0.028472017,8287024
NaHgF3,2,3,20,-2.137999176,1.38,0.050322324,8531363
NaHgF3,62,3,20,-2.137977843,1.38,0.050343657,8432889
K2AgRhF6,225,4,10,-2.192509357,1.64,0.00063301,5447161
LiTl2VF6,166,4,10,-2.647753571,2.112,0.031674253,8278796
LiTl2VF6,225,4,10,-2.653272961,1.92,0.026154863,5450626
NaScIn2F6,225,4,10,-3.00387867,3.105,0.065994471,5441001
Rb2AgRhF6,225,4,10,-2.220296361,1.652,0.0,5448646
CsTl2GaF6,225,4,10,-2.506120976,4.782,0.096473215,6218469
K2HgPdF6,87,4,10,-2.128959204,0.693,0.034090997,9240964
KTl2InF6,225,4,10,-2.504810108,4.622,0.035678842,6451457
KTl2InF6,139,4,10,-2.522002023,4.546,0.018486927,8302076
KTl2InF6,87,4,10,-2.54048895,3.863,0.0,8289396
LiAlTl2F6,225,4,10,-2.945318765,4.596,0.031963821,5450541
LiAlTl2F6,166,4,10,-2.930674522,4.363,0.046608063,8215030
NaTl2CrF6,225,4,10,-2.605980322,2.052,0.027418415,5450246
NaTl2CrF6,225,4,10,-2.633398737,2.015,0.0,7744552
K2CuRhF6,225,4,10,-2.232939863,0.9,0.026698987,5446986
Rb2CuRhF6,225,4,10,-2.225143359,0.843,0.01991437,5448326
LiLuIn2F6,225,4,10,-3.097667268,3.227,0.076144181,8708262
LiLuIn2F6,166,4,10,-3.074557843,3.13,0.099253606,8701235
NaTl2VF6,225,4,10,-2.662945695,1.639,0.017203012,5450306
Rb2FePbF6,225,4,10,-2.596313116,1.07,0.06634381,5449871
Rb2HgMoF6,225,4,10,-2.454248279,1.518,0.08924704,5449931
Cs2AgRhF6,225,4,10,-2.220352877,1.441,0.0,5451056
HgPb2WO6,12,4,10,-1.588123948,1.419,0.089918283,8872259
LiNiF3,62,3,20,-2.390943211,1.075,0.024072557,8538182
NaAlTl2F6,225,4,10,-2.981197683,4.599,0.0,4793561
NaAlTl2F6,166,4,10,-2.94658432,4.534,0.034613363,8303227
NaAlTl2F6,225,4,10,-2.94748394,4.519,0.033713743,5450341
NaAlTl2F6,225,4,10,-2.976109535,4.488,0.005088148,4046219
NaSnF3,161,3,10,-2.682112232,3.663,0.063467603,8391715
SnCO3,167,3,10,-1.541460186,2.79,0.094589174,4733140
K2AgIrF6,225,4,10,-2.097508367,1.841,0.077964221,6410227
K2AgIrF6,166,4,10,-2.092949338,1.728,0.08252325,8278662
Rb2AgIrF6,225,4,10,-2.114051654,1.776,0.067012438,5448516
Rb2AgRuF6,225,4,10,-2.1966774,0.696,0.043327638,5448546
Cs2CuRhF6,225,4,10,-2.173896304,0.812,0.07459705,5450876
LiCuF3,194,3,10,-2.209270966,3.68,0.088885662,3767229
LiTiTl2F6,166,4,10,-2.817595933,3.244,0.08192245,8278766
LiTiTl2F6,225,4,10,-2.821218083,3.243,0.0783003,5450546
NaLuIn2F6,225,4,10,-3.053965746,3.284,0.093534939,8262721
YbTlF3,140,3,10,-3.444058233,4.519,0.047976213,8876083
YbTlF3,221,3,5,-3.457795462,4.49,0.034238984,8212344
YbTlF3,65,3,5,-3.461100396,4.48,0.03093405,8267393
K2NiPdF6,225,4,10,-2.231468862,0.901,0.021071065,5447036
Rb2AgAsF6,225,4,10,-2.380330068,2.313,0.06106086,6358703
Cs2FePbF6,225,4,10,-2.605152768,1.495,0.058817275,5452321
Cs2HgMoF6,225,4,10,-2.511319541,3.535,0.0,5452401
KScIn2F6,225,4,10,-3.001445495,4.045,0.077232125,8227702
KScIn2F6,14,4,20,-3.036092152,3.641,0.042585469,8534367
NaTmIn2F6,225,4,10,-3.078441892,3.426,0.071852114,8277095
NaErIn2F6,225,4,10,-3.062909652,3.387,0.075720624,8232753
Rb2AgMoF6,225,4,10,-2.457865907,1.643,0.085629411,5448536
KTl2CrF6,225,4,10,-2.614391324,2.082,0.010040471,7756760
NaHoIn2F6,225,4,10,-3.056676204,3.361,0.082191779,8232669
NaHoIn2F6,87,4,10,-3.064346351,2.97,0.074521632,8232857
Rb2CoPdF6,225,4,10,-2.195242522,0.701,0.056947117,5448406
RbTl2CrF6,225,4,10,-2.557192699,1.913,0.038922845,8283538
Cs2AgIrF6,225,4,10,-2.12094989,1.569,0.063049879,5451031
Cs2AgRuF6,14,4,20,-2.216560011,0.963,0.097886947,7977396
NaDyIn2F6,87,4,10,-3.05755302,2.821,0.085431107,8314857
NaTiTl2F6,225,4,10,-2.830087841,3.929,0.061230861,5450251
NaYIn2F6,225,4,10,-3.014785659,3.605,0.099621924,6359300
NaYIn2F6,87,4,10,-3.044536661,2.834,0.069870922,8314928
NaTbIn2F6,87,4,10,-2.984092791,2.927,0.09154453,8314909
Cs2AgAsF6,225,4,10,-2.388692308,2.516,0.056325652,6449658
CsTl2CrF6,225,4,10,-2.508897846,1.675,0.099317447,6218137
KTl2VF6,225,4,10,-2.665142327,0.97,0.000314588,8217622
NiPb2WO6,225,4,10,-1.780892738,2.65,0.053388822,8217423
NiPb2WO6,69,4,10,-1.780459815,2.643,0.053821746,8239347
NiPb2WO6,12,4,10,-1.79180313,2.272,0.042478431,8205199
RbTl2VF6,225,4,10,-2.611641858,0.762,0.036546211,8284051
AsRhO3,62,3,20,-1.099996878,0.591,0.094122669,8532034
NaNiF3,2,3,20,-2.370421824,0.97,0.008884718,8207942
NaNiF3,62,3,20,-2.379306542,0.965,0.0,1927440
KAlTl2F6,225,4,10,-2.971348728,4.717,0.002185339,7786596
Na2CoAgF6,225,4,10,-2.175991682,1.013,0.05727648,6449867
KHgF3,11,3,20,-2.176196428,1.377,0.041008675,8430452
KHgF3,62,3,20,-2.185050103,1.376,0.032155,8208286
KHgF3,9,3,10,-2.2012327,1.237,0.015972403,7738440
KHgF3,12,3,10,-2.175630541,1.114,0.041574562,8204867
KHgF3,140,3,10,-2.168565481,1.112,0.048639622,8219830
KHgF3,127,3,10,-2.143466472,0.694,0.073738631,8218467
KHgF3,65,3,5,-2.148025255,0.693,0.069179848,43220
KHgF3,123,3,5,-2.147437167,0.666,0.069767936,8202291
KHgF3,221,3,5,-2.170989477,0.662,0.046215626,5281818
RbHgF3,140,3,10,-2.165679222,1.154,0.017486036,8290672
RbHgF3,123,3,5,-2.172416746,0.785,0.010748512,8212547
RbHgF3,65,3,5,-2.178399466,0.784,0.004765792,7913504
RbHgF3,127,3,10,-2.170731508,0.761,0.01243375,8287052
RbHgF3,221,3,5,-2.183165258,0.759,0.0,42770
Rb2AgSbF6,225,4,10,-2.457982251,2.051,0.087130733,5448571
TePbO3,76,3,20,-1.375176536,2.608,0.00798,1927257
TePbO3,76,3,20,-1.37066522,2.496,0.012491317,9699310
TePbO3,62,3,20,-1.353185528,1.71,0.029971009,2067643
